dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
26066.0462471978,25747.7167421932,25789.0574574041,25705.1549302946
26066.046276057,25746.4091309406,25789.0233393888,25710.2745437125
26066.0462452653,25755.3140788912,25789.0663427696,25704.4765549388
26066.0462497757,25748.360377753,25789.0730267502,25703.478615858
26066.0462701223,25748.6149374691,25789.0358145394,25704.8808206189
26066.0462546099,25747.9148275977,25789.0619291092,25707.6219431723
26066.0462453299,25748.4276600879,25789.0546947904,25707.4035460226
26066.0462771999,25745.4865189785,25789.0401397542,25709.91949039
26066.0462524622,25745.7094072688,25789.0749970272,25708.1023261
26066.0462505985,25746.9524081584,25789.0569472157,25705.409793487
