dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
146990.806176668,142088.546715491,143776.043035922,142162.080266662
146990.805000362,142098.43208737,143915.187943416,142181.2369968
146990.804944401,142074.262956571,143775.029525002,142184.784810932
146990.804413243,142107.753173257,143914.666759124,142169.543179614
146990.805057695,142081.778005487,143774.631080971,142161.59978697
146990.809715697,142084.293852685,143773.012605913,142193.06137754
146990.808785343,142102.213817131,143774.936151913,142184.134738168
146990.804397663,142089.974581016,143775.259171487,142179.716200785
146990.805364446,142079.476683462,143915.074873079,142184.296755245
146990.812176971,142066.840894131,143776.703790785,142177.442395034
