population,human,human,human,human,monkey W,monkey W,monkey W,monkey W,monkey E,monkey E,monkey E,monkey E
load,1,1,3,3,1,1,2,2,1,1,2,2
delay,short,long,short,long,short,long,short,long,short,long,short,long
,-42,35,-81,-147,50.59108539,-24.52147789,34.56424585,88.50450007,-85.84501706,77.02489734,0.551279886,-40.9823124
,32,-56,11,-95,-19.87804488,34.51583445,-47.0712778,30.3009595,-18.52118132,25.95699673,-30.22387245,-93.10526387
,51,68,-99,-24,-15.02199622,15.99957291,-105.6576764,-178.8195134,-11.36260968,-12.22513981,12.42560204,-119.809467
,-171,-2,17,85,31.29783718,-20.0952941,32.45040955,37.28827823,94.0171598,-8.348152915,-87.62167268,-109.2735796
,-13,0,17,49,-27.77510801,28.38029898,-103.4383965,94.02718135,4.031882792,35.65794595,105.120399,-78.13235648
,37,-13,-61,32,-5.41952065,125.859336,23.87430621,-3.226806226,29.75236859,26.49938385,-9.859191798,161.6924511
,26,2,18,42,-55.61637178,57.33483681,167.4191388,-40.06720903,-68.51459802,-4.866552236,74.867174,149.3767195
,-1,-14,2,9,-18.63717672,51.63744296,-170.2671615,65.27789648,15.42299363,6.368717724,147.0593728,-12.04812358
,31,33,33,-98,-11.84696838,-26.4361847,18.04853362,-106.6680146,-8.956751562,20.21223437,-30.01996687,0.596297687
,-8,2,6,-90,65.53805673,23.30714786,-82.4793099,-37.31673811,62.81168817,128.0341786,-125.2861579,-133.265766
,30,-180,-36,-1,24.64996417,-12.59851779,112.3500216,97.55860697,-153.9190779,76.9325986,-19.90601111,162.3692444
,-27,-91,19,5,-37.31585416,-7.820284356,-1.490064631,-56.3147935,33.18222017,129.0406951,-112.5173121,-146.430766
,-31,-24,24,-89,72.52794847,11.6152751,-55.68274605,-28.27306678,-14.57590316,36.3197485,-15.71532496,-164.7105476
,33,0,83,24,-45.31637636,-66.54865869,23.79157954,-8.695076223,34.32041007,-11.39844337,21.09773395,-59.13515144
,22,41,59,-25,-26.5256963,-2.220954896,-35.55739672,-73.08300694,-18.57726249,-13.10519038,-172.4141161,173.2227977
,1,-14,33,-73,0.477584563,31.1874656,-25.43215739,-104.0528207,22.96875866,64.23395334,148.0410163,18.53339711
,10,-48,28,158,-18.74005229,2.900748077,-21.73842693,112.757496,-10.25999918,115.3773736,-70.72357361,-74.30248926
,-12,25,35,30,52.86651972,-0.017457735,-92.65831281,-8.539390155,73.82415174,140.8058334,63.60328056,-44.74538664
,18,27,71,17,-16.09798015,86.49256194,102.2021068,8.781470579,9.387391879,141.3917266,-104.414988,111.5701296
,28,10,-44,6,-66.82953002,-33.11963053,-13.20862343,66.70448336,58.69391784,-69.74994519,41.25245235,34.11646783
,-13,-27,-24,-33,20.41890302,82.66306268,-7.529489312,-4.519324811,167.1994547,65.8388236,-34.70777955,-113.5913383
,-6,-1,-9,71,-66.98054805,-30.79336002,-1.423002721,48.75460599,17.29808692,-26.85531258,123.6250516,45.47888389
,43,-15,-80,-10,-8.651383063,-26.93377055,4.78200691,56.87555971,-5.256006711,56.35438534,-130.6811676,159.9655513
,-44,25,-73,-47,-0.655259272,48.61967934,42.20109344,-173.8851478,-53.83788648,-64.52322942,128.858986,5.764663245
,-31,57,40,117,10.90632168,19.29462413,12.24039965,41.96925017,-101.8853491,-1.598798177,-0.443916755,131.0666941
,-34,-110,18,2,-7.103568523,3.455841743,-21.93951351,-66.41799094,21.72266092,45.61674513,-82.83079234,-70.79983105
,26,5,7,6,2.503832925,-14.15575574,160.4938019,4.156186609,173.8234946,168.6186647,75.90815645,-73.89099161
,-10,7,-5,-20,34.34593924,-100.1890883,21.5343367,-43.88513645,96.34018481,-80.12792521,-48.97111676,-15.02750685
,-8,-27,17,5,-27.45661618,-10.51572206,0.821831463,-133.1770509,11.91160502,-149.7122501,143.1864957,-113.1896602
,-22,2,6,36,-14.01015901,39.48614265,44.03166587,-44.44592216,5.102242679,157.0586818,138.5740926,-0.834729504
,-3,40,26,6,-70.89856998,2.44408048,-14.69981131,70.5726746,-78.61634545,120.8896724,177.338159,-146.9364468
,7,-2,8,-3,18.25476565,-31.58198891,-11.41331042,85.86594373,7.358764999,106.185531,-22.28021041,-25.05751902
,14,13,1,-8,38.8348905,-52.47728368,-41.72436853,103.6939156,98.58495618,63.84221946,-45.42095243,155.5499288
,9,-24,4,25,-29.49357789,-25.24320571,-75.4780381,54.07124961,58.75020023,43.42448035,-122.0562981,-12.64307449
,42,-27,-24,-2,-77.42875607,-41.34659346,-77.59446951,-33.53134565,58.45274393,151.6915195,-54.28605354,79.40749209
,21,19,-8,1,15.16785166,50.16900897,-87.25175496,7.00735184,-54.45857126,-128.4056958,14.41574439,76.86634965
,10,-18,-30,-78,52.03165376,9.970000813,-37.79848137,16.38111551,23.72973088,52.24008057,10.82370206,136.0580854
,9,7,19,19,25.41492911,56.53596984,48.53102732,-67.93031235,64.42000773,-28.91453359,-76.50836528,32.66739422
,4,23,8,11,-30.4943339,-19.24759169,-57.36101956,82.12064397,-43.79505622,68.7300999,64.19597839,38.04392035
,17,-17,-19,9,-28.76980717,-4.67926433,-70.31918686,32.77014062,108.0996417,-29.50544419,-30.48981947,36.98210617
,13,19,32,-4,-9.628439784,68.87610106,10.14527442,-45.96263351,-9.951386609,-7.634818792,-38.52890283,56.73873085
,7,-10,9,-10,19.9374656,-8.18709036,-16.92195228,-170.9844589,63.35331987,119.3477927,-24.05439743,-32.94105529
,12,-17,-20,-3,30.22185048,-25.02285177,-43.79656026,-4.540666926,4.717452003,-132.1408726,-45.93429773,24.55089819
,27,-2,5,-35,2.331205026,-31.66525168,-21.300679,3.50000636,-12.56278916,-25.83318351,84.82003359,103.7721308
,12,-1,-19,8,-2.985308668,-12.19081869,71.5650413,74.47038101,-82.13162102,120.5729719,65.93198732,-173.2240004
,3,-13,-28,27,-73.2218432,21.24822568,-99.49441557,91.06183505,-47.29507557,15.54590088,25.8242162,42.11752342
,16,-2,5,62,-69.80836912,15.04170092,-76.01556362,-11.74705632,66.34072536,-147.8542516,-14.60376618,-159.6322376
,4,10,-11,6,5.686758719,5.034803664,-70.33874227,78.71915635,-36.76529669,-112.7439671,28.65635287,24.73117461
,-31,17,-8,-35,-85.34474268,48.41492755,-95.75577189,99.67751918,111.0965707,-7.780340454,103.099219,-82.7079721
,13,-33,24,12,-31.78417363,-57.40553049,36.8157294,57.47142525,-60.36932626,-37.16072374,-126.4028896,-56.78188219
,18,1,39,-51,53.93478569,-8.006367537,2.274482839,-155.3423055,109.2264436,85.09919986,125.269426,-154.8612204
,1,-21,5.68E-14,18,-43.03975174,-3.390815111,-6.212837806,132.7733464,-11.56809431,10.36931514,-147.1488514,131.8230707
,7,-9,-9,15,39.34108539,-21.7313695,51.05857318,127.6002465,90.86781791,123.5215112,-88.21255883,30.98040265
,-6,6,-4,-28,51.02277927,-49.83864941,-79.91059699,-104.0524709,-34.2641116,124.9985655,97.46994524,-13.68973584
,8,54,-23,18,91.95298163,-34.8435305,-44.27676543,105.0157865,-48.91139871,-6.896225607,20.91685204,-67.76109222
,4,-14,-43,107,39.02624535,-107.6310564,-11.89089703,-117.0800839,-0.25396875,-55.93294596,-70.47882384,-106.1709414
,0,-21,7,-44,-32.00292503,35.045085,-89.74603125,175.2644084,-49.62596602,15.26715889,72.52749213,111.0587673
,7,8,-5,-20,41.45963359,-9.7875038,-123.3964233,-27.16082386,-38.966427,47.86543605,58.23935992,-39.10208345
,13,-45,3,-17,-34.95921662,7.297536619,-156.6300071,-52.49484309,-31.6229693,101.2019773,-116.411213,60.1044466
,-11,24,-10,-2,-37.56847021,-154.7557067,-2.778741076,7.405638343,20.44566472,74.13949554,-27.26042519,101.364788
,3,-4,-4,-20,7.960885841,-43.71510593,124.7651972,-36.89551042,15.39563456,112.844984,76.61340817,-146.2979663
,1,-19,31,-45,-11.87332665,-28.78250449,134.1473292,-20.23515875,-7.12993863,59.92758186,-24.64508761,46.36779307
,-22,8,-6,60,-32.95485511,33.16238055,-44.00685066,-23.15227784,28.71977514,2.788297071,34.72709514,-54.2919777
,17,13,10,13,-12.59041619,40.74859747,-139.9254215,-102.8294713,27.5238613,-163.8107878,-169.8518929,65.72822514
,-14,-7,-23,-5,-49.05314728,115.8130002,-90.61290538,17.991358,2.73902101,-163.2303619,-44.39288634,-69.1959975
,-8,41,0,158,6.404659832,90.58291837,-91.98605779,46.13001717,-73.96344539,-67.58864824,38.05213573,107.6134722
,10,18,-11,16,-66.77302406,-16.67936764,-24.94004962,-93.66480133,74.37874709,-37.64828483,88.73189192,-20.40219165
,44,174,143,-2,-49.86815287,-48.65719834,-57.93997354,-102.6616386,18.64634856,58.83669652,-110.5117793,-22.55666226
,3,-24,35,-45,-53.76150991,9.231119077,2.258534364,-81.94023225,65.81149425,147.6162749,43.78582496,102.781234
,17,-5,9,38,8.733030935,24.45645692,-36.70429624,-168.6826103,-61.69815514,22.65908798,-54.35639194,85.52935147
,-9,-1,14,-86,15.63062236,-0.376120085,64.39852274,-96.57961305,87.63014685,-23.74425259,86.53617868,66.42682928
,1,-2,3,-12,-41.75406744,13.05169636,90.68866621,-79.75201334,8.710028094,99.10763603,2.550477517,178.4680048
,15,-10,3,9,58.48145922,22.51811244,136.6712802,20.99651879,3.366805298,150.9988252,-27.37179521,-3.213461111
,-11,-11,59,21,-45.76949844,-16.3209694,64.90713517,-41.13600684,32.06080787,47.73322119,109.5756556,95.00437831
,2,-35,1,-1,20.32473593,95.58281657,-168.0629382,-1.315239478,5.353711516,-31.87991471,-47.91508308,-83.5956262
,11,2,9,-4,-31.89545409,48.3335719,6.142475829,-43.63365759,-169.9183031,-102.8828829,-76.26903209,-5.035378856
,128,8,-10,-44,-60.3119622,-29.15158419,-3.392735392,-33.49475065,153.3696919,-100.291126,147.8397047,138.0656401
,3,-34,156,134,-90.57983011,72.05354837,107.2298854,-25.23441599,-15.17997609,3.903711165,-178.811246,75.40970926
,-7,-36,133,-135,-81.57181099,16.93789536,10.79970097,11.8102792,15.00817465,-22.35155663,21.8340266,-175.4642678
,-1,15,143,131,86.17123914,4.209335688,-8.186790106,22.05175497,-44.73530946,-56.82003647,12.7201191,16.53448216
,67,-11,38,147,-9.452644826,13.22246551,-6.288167704,147.9976,75.54427321,69.47664244,-68.80082043,144.1017927
,9,27,-104,-59,-2.89665944,18.09584909,57.19500342,-15.62283784,18.81100934,27.44875813,-6.861237475,138.2660469
,-38,7,-92,-174,46.23822009,18.19151208,21.46149215,-25.39386745,-19.72011156,20.54278806,75.06738232,128.0756278
,-37,-16,-31,-180,-121.7957716,32.91858176,3.401354508,102.346543,-58.65083225,-174.3723117,23.09345028,-146.9902145
,82,-18,17,1,45.68555321,10.12808925,4.889009967,70.95197948,-52.78395245,18.41768941,176.3938785,-149.5087534
,5,31,163,-163,-15.66755487,21.9260564,-153.0800389,150.1816678,24.98451221,66.94102152,-122.6424038,-129.6942774
,8,-2,-54,130,23.21402616,-68.42832514,-50.82613009,32.86935695,-9.294591018,-14.17421632,-176.5034434,38.4591657
,-41,15,73,48,13.96006318,-10.89245467,55.38710961,4.859167153,-17.12024607,42.16125821,-52.64518655,45.97091933
,26,-8,108,19,56.88477586,45.69481968,-23.58021719,-14.56357961,6.978017147,28.16127182,-25.69410319,-179.151595
,25,28,14,167,-68.06299355,-13.4080807,50.44649507,-5.665276024,-23.86392284,57.77647826,144.296298,-72.59904202
,-13,19,37,84,-44.05709337,21.28471621,42.58305469,-27.55547129,-58.55699883,-39.991054,-77.29382358,-78.60716188
,-16,-9,94,-11,49.38374263,-50.90699994,92.61512109,18.66481549,15.11486437,42.18429469,23.17901487,73.82864836
,-2,-43,167,-112,-28.40539926,61.05761308,-160.6583682,-13.61859062,14.34085283,-43.52180147,-49.79113429,-68.16096439
,-27,96,-156,-94,-44.84483439,-25.15095828,120.2465703,-4.578850397,-65.73458105,-12.62561359,-65.27024575,96.68837748
,12,11,12,4,55.31535466,-33.61785148,-51.71306166,-11.93942184,-51.49292074,-70.41929813,136.1594667,-7.467570511
,5,-22,-3,85,-24.56141975,-19.95690334,37.51088105,86.49208003,11.33728114,54.74255857,-70.15155288,-98.50343117
,23,3,4,70,-17.43774378,99.30506618,-21.16185075,-47.32243275,68.00733754,-36.10739877,-64.64853959,-173.3432622
,-21,26,171,37,15.85921288,59.33311309,17.6457349,83.17410459,40.49422747,-146.723657,-95.442729,41.74118454
,-12,12,-46,135,-57.93360751,49.49468292,-101.3862329,-81.20095223,23.37033171,-84.64690058,-21.17643157,-41.98787289
,-29,8,33,-79,-93.1529483,-39.53154584,21.20806223,40.76244049,0.880317634,-63.88975818,-3.60199748,-158.7730358
,-12,-11,-49,5,-30.4374213,-13.99832654,-1.1074316,63.20273731,-12.1870254,101.7437779,96.13292806,62.9289347
,5,18,53,84,-11.19992473,-66.88196787,26.77854196,26.13816091,19.33894928,27.20451888,67.31588441,37.00408376
,4,-18,135,117,-58.31804495,50.10862405,-12.80648644,-106.946246,30.36851085,4.495634634,162.0720725,-38.17435212
,14,-4,47,-26,-94.21925074,-43.98910213,14.0300276,70.47593434,2.69869187,28.05498637,-65.04575569,127.0973667
,-29,-85,-52,30,-15.44371534,38.41882169,9.837628923,23.30966476,-27.42508236,31.39455499,-2.355445013,-8.121401003
,-29,4,19,-118,16.67408897,37.0798314,-33.36691754,-21.38785962,93.77433547,-115.7828997,-22.10751554,89.63505738
,2,8,129,53,-19.45288707,-11.43256025,29.03410943,25.67681943,-34.13460043,-62.14072912,53.66354007,7.824002283
,9,9,-163,149,16.33357857,70.15485079,-19.04463332,-52.57591794,82.76386628,20.33986243,31.75392102,62.54054189
,-3,-8,-141,-167,24.08318221,24.02931292,22.08390327,-43.50630643,74.36752393,13.13780567,114.4604976,96.26211546
,18,-17,-95,-2,-19.95832525,-101.0385813,-1.650791837,85.59740736,-95.70037006,-122.850426,-144.4569988,107.919009
,0,-2,-166,-143,26.39700243,45.78583935,-25.81672262,-50.75517134,46.11799018,31.36002981,-5.895320592,85.51533403
,-8,19,-117,23,25.51173771,-22.81665486,7.290106058,117.6537068,22.08781359,-121.859641,97.08001802,37.31978218
,-15,-18,-81,-34,-103.2137824,-5.728148896,44.34382999,-7.343200596,116.9234673,-96.36903425,-29.38190979,27.73557572
,47,37,-8,61,46.78959,-18.28127348,110.9754083,53.72089313,-56.92348289,-150.3008598,-39.84588556,-33.45184177
,-8,28,41,-111,47.76884305,-40.3667279,77.961658,-6.920249677,-66.98653535,171.7413044,63.75492005,42.46434995
,-14,30,-16,-72,31.22054944,-131.1153619,28.88978638,-21.12553999,102.2304195,-64.2617652,-62.05977028,148.3156786
,-38,-6,15,31,34.56082038,-31.66095998,-22.77352803,35.80756505,114.7053015,-169.8934055,37.07678953,-54.74998637
,-19,48,130,87,15.98219373,-15.20879909,24.31440041,-23.65899869,4.407853595,83.82747992,28.99936225,64.79178021
,3,44,163,79,-8.994019815,39.64888642,-88.69707034,145.6739709,66.59428683,-47.92658625,32.12929006,25.78647486
,-6,-15,-163,-32,36.86989467,55.42620245,104.7803904,-102.1280626,76.4492162,138.2738336,-152.8803393,17.69102945
,-7,-15,-126,102,-6.634328216,30.47048102,70.54960308,-154.9795128,-23.77318458,33.10251251,-81.47754853,140.8673251
,-7,6,127,6,50.44034714,128.8080491,28.05722597,-80.87257781,-129.8275215,-67.32073638,97.2712104,-60.56737529
,-4,-3,108,-1,-23.22037046,15.65609346,58.57207874,-154.3381917,-111.9304624,-19.66371186,-39.90541057,-100.7616557
,-2,-2,-37,30,48.89724328,34.04970128,0.384499277,-31.83069125,66.47264633,-82.863817,130.4271723,56.16790123
,4,-9,-9,-4,11.11419681,40.40422145,25.90478426,110.8847499,122.7204898,-1.65184716,-40.36225379,122.5561529
,-14,6,10,-40,-54.67827014,-30.53862012,-17.18618739,103.4954706,-20.04962412,70.17399076,86.26490453,-27.62411852
,32,1,-47,94,-23.56977699,-10.10425464,-86.78986791,29.02892054,52.7354667,56.8238869,63.55915282,-62.28755753
,10,28,-36,90,-5.027616605,-12.65425415,25.62960676,25.1461474,16.60755325,3.697874529,-5.534240274,-133.642971
,-28,72,5,61,-97.62901183,-44.42852374,-136.71979,-99.03154428,17.5126779,14.4574956,38.56650991,-88.43113718
,13,9,28,-34,-7.12178632,15.37874953,-44.61842189,85.5281053,105.4853416,35.30994882,-127.2662579,-52.51806007
,-20,-7,-18,-14,-15.60942587,2.987085793,-56.58857417,-47.18404753,-90.04586356,176.1966784,29.53732003,128.9615694
,0,-39,62,-4,-46.23322596,76.19756666,118.3390468,11.37611663,25.27552115,30.63577824,72.30529336,59.81978289
,1,-6,-20,-162,72.3278287,-26.01614651,-15.35677549,63.32612144,1.373991715,-16.54158752,-94.10772503,-39.33429977
,-33,13,14,16,-24.98268008,-12.21557541,1.568962883,-104.1020507,-102.3605862,-11.07071867,12.36462201,174.6695503
,-17,-44,12,-38,-22.69720573,-6.946670503,84.67024079,-115.726439,13.74875052,0.381580308,-37.46465093,14.31437853
,27,-15,-11,-28,-0.014489677,1.606728548,-64.7775719,24.98319599,92.00048399,77.70578933,-60.99625858,3.317173707
,27,-14,-7,-13,-0.106849349,18.89956023,12.70759601,16.97093715,153.2890852,-72.40433638,57.21345708,15.8928736
,1,-32,45,-15,4.972068089,-0.905158545,-4.803463865,37.80859765,110.6353804,2.511362779,-3.274277316,-115.2858165
,0,2,10,65,-63.87408937,-91.78930425,-67.64998148,45.57425839,-11.79836859,14.80684049,-58.39380261,127.3165201
,36,3,-27,-9,-66.27660782,0.551044578,-23.25852083,11.17765245,67.34782373,-16.71984323,67.8506295,-63.15674459
,-37,2,-21,-3,74.83454097,-15.79843471,154.26397,-56.04416787,-26.65224847,-11.3228998,-110.8310926,-96.16030426
,18,-16,4,-24,-43.20301158,-21.64201248,-79.73833002,-176.5219567,57.0027789,-25.99104428,-66.43707313,-43.13429987
,6,20,20,-22,37.94335665,-33.27421152,-52.15967742,-1.115468951,-83.77891419,48.98311983,0.802848405,-140.8185002
