dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
99696.3549293614,98336.5273731229,98938.5665321856,98904.8883808914
99696.3543339147,98345.6545763656,98938.58704927,98903.134769353
99696.3544759847,98345.2283243198,98938.5069085215,98893.1728303362
99696.3543666102,98342.7204241691,98938.6471007832,98899.9968669234
99696.360491307,98331.7867410181,98939.2985734772,98908.4935593784
99696.3543325899,98334.526474802,98938.5983849454,98906.587280924
99696.3543344085,98340.1319446767,98938.5857772941,98899.108949056
99696.3543445446,98341.269560715,98938.5655298013,98901.7350214731
99696.3544884886,98337.7303401079,98938.483751098,98892.2616811965
99696.3547128658,98335.9270945554,98938.4943064712,98852.9030941473
