dPrimeAndGaussianWidth,single_ssnu,single_sg,simultaneous
97180.5172226021,95242.3051182503,96351.8559209585,95825.5968519978
97180.5171830066,95253.1020807363,96351.8547938645,95818.6382566926
97180.5172455467,95257.0116901656,96351.8636176581,95810.8158234358
97180.5172148366,95253.5829009274,96351.8632552387,95856.4546490006
97180.5172097784,95248.9656926569,96351.8788665759,95827.9656776256
97180.5171833387,95251.4015002907,96351.8604881243,95838.8748107717
97180.5172025451,95242.8050087427,96351.8267949802,95827.9053016377
97180.5171865285,95248.5149335113,96351.8567192877,95821.8339444846
97180.5171799371,95247.9266394986,96351.8478619499,95829.3751249683
97180.5171807622,95251.6450746885,96351.8574455284,95827.1274937301
